objective value:                     4487.51582646449
t#569                              -0.847066189713275 	(obj:0)
t#570                                -0.6102067500197 	(obj:0)
t#571                              -0.965679037428909 	(obj:0)
t#572                              -0.978031278731495 	(obj:0)
t#573                              -0.965900748350528 	(obj:0)
t#574                              -0.943217759089959 	(obj:0)
t#575                              -0.977289990652159 	(obj:0)
t#576                              -0.890451484781854 	(obj:0)
t#577                              -0.890451484781854 	(obj:0)
t#578                              -0.890451484781854 	(obj:0)
t#579                              -0.985333304064049 	(obj:0)
t#580                              -0.975509548257388 	(obj:0)
t#581                               -0.79554051557677 	(obj:0)
t#582                              0.0880355496596241 	(obj:0)
t#583                              -0.904065516358735 	(obj:0)
t#584                              -0.798977034861866 	(obj:0)
t#585                              -0.890451484781854 	(obj:0)
t#586                              -0.452668081434487 	(obj:0)
t#587                              -0.986981700895316 	(obj:0)
t#588                              -0.969876184821555 	(obj:0)
t#589                              -0.987924434830817 	(obj:0)
t#590                              -0.988215546045098 	(obj:0)
t#591                              -0.991526774788507 	(obj:0)
t#592                              -0.908480394762903 	(obj:0)
t#593                              -0.975342802547554 	(obj:0)
t#594                              -0.959247570627475 	(obj:0)
t#595                              -0.908592175260952 	(obj:0)
t#596                               -0.73830745252557 	(obj:0)
t#597                              -0.988361101652238 	(obj:0)
t#598                               -0.97834265501123 	(obj:0)
t#599                              -0.985561770007487 	(obj:0)
t#600                               -0.98325499543318 	(obj:0)
t#601                              -0.537335107174153 	(obj:0)
t#602                               -0.98493133738896 	(obj:0)
t#603                              -0.988374611695874 	(obj:0)
t#604                              -0.898425397901084 	(obj:0)
t#605                              -0.931217424198016 	(obj:0)
t#606                               -0.96778436614705 	(obj:0)
t#607                              -0.968533334285445 	(obj:0)
t#608                              -0.963801249616965 	(obj:0)
t#609                              -0.983705172298237 	(obj:0)
t#610                              -0.905617492810068 	(obj:0)
t#611                              -0.851351152389556 	(obj:0)
t#612                              -0.976942989188854 	(obj:0)
t#613                              -0.502637153933459 	(obj:0)
t#614                              -0.851351152389556 	(obj:0)
t#615                              -0.678396368461208 	(obj:0)
t#616                               -0.98008839725967 	(obj:0)
t#617                              -0.917687227994673 	(obj:0)
t#618                              -0.988361101652238 	(obj:0)
t#619                              -0.986116047311534 	(obj:0)
t#620                              -0.988409311842204 	(obj:0)
t#621                              -0.951842369893169 	(obj:0)
t#622                              -0.990896342169981 	(obj:0)
t#623                              -0.988215546045098 	(obj:0)
t#624                              -0.878096468367548 	(obj:0)
t#625                              -0.992378918328654 	(obj:0)
t#626                              -0.949665790807887 	(obj:0)
t#627                              -0.934218201698932 	(obj:0)
